      mass_in  chg_in     en_in    azi_in    pol_in  guess_en         x         y         z          px          py          pz          time        en        de       azi       pol    true_x    true_y    true_z     true_px     true_py     true_pz     true_time   true_en   true_de  true_azi  true_pol  start_en    pdev_en   dev_azi   dev_pol    en_err
46          4       2  2.009207  1.699911  2.118355         2  0.033337  0.254233  0.837527   70.742704  169.012184 -111.803103  1.722982e-08  1.533137 -0.004332  1.174388  2.118691  0.025171  0.274027  0.831098   58.064226  175.040335 -111.047778  1.764243e-08  1.542201  0.001595  1.250499  2.112793  2.009207  -0.587753 -0.076111  0.005897  0.009207
47          4       2  2.107428  1.449640  2.764170         2  0.177840  0.169524  0.384872   67.933782    5.939313 -132.959674  4.265671e-08  0.743378 -0.013225  0.087206  2.667691  0.167294  0.197290  0.359608   72.436739   21.841522 -155.953363  4.038918e-08  1.000162  0.002183  0.292856  2.689910  2.107428 -25.674260 -0.205649 -0.022219  0.107428
48          4       2  2.048242  5.860293  2.368904         2  0.193751 -0.164592  0.745506   83.773160 -126.168454 -140.233155  2.109903e-08  1.417819 -0.005387 -0.984657  2.317765  0.218560 -0.167198  0.729270   97.795623 -120.118713 -144.040308  2.110464e-08  1.488928  0.001636 -0.887482  2.319899  2.048242  -4.775866 -0.097175 -0.002134  0.048242
49          4       2  1.889586  3.165228  2.575728         2 -0.204371  0.085407  0.594283  -58.641570   68.197064 -171.425015  2.772129e-08  1.247350 -0.011375  2.281001  2.658400 -0.243143  0.087038  0.540649  -56.496096   57.315805 -153.584554  3.188708e-08  1.000812  0.002182  2.348992  2.658925  1.889586  24.633733 -0.067992 -0.000525 -0.110414
50          4       2  2.164793  6.122784  2.585687         2  0.223939 -0.129310  0.604397   71.353049  -86.847065 -153.648835  2.842976e-08  1.206285 -0.007687 -0.883026  2.510014  0.247174 -0.121035  0.584378   89.692597  -83.427645 -169.424369  2.694069e-08  1.454659  0.001665 -0.749226  2.515594  2.164793 -17.074352 -0.133801 -0.005580  0.164793
51          4       2  2.194252  2.835558  1.861556         2 -0.183234  0.098376  0.929720 -165.098702  133.981596  -72.629080  1.233239e-08  1.679899 -0.004456  2.459864  1.899956 -0.244069  0.127886  0.911289 -173.795945  136.378861  -75.250527  1.487554e-08  1.812318  0.001414  2.476247  1.899098  2.194252  -7.306597 -0.016383  0.000858  0.194252
52          4       2  2.074659  3.774007  2.082563         2 -0.166450 -0.078787  0.888423 -185.871900  -48.773345 -116.704712  1.216760e-08  1.682012 -0.005528 -2.884975  2.116578 -0.249163 -0.117437  0.836510 -182.441632  -44.345673 -116.668936  1.712459e-08  1.626022  0.001533 -2.903149  2.126798  2.074659   3.443408  0.018174 -0.010219  0.074659
53          4       2  1.990422  0.742562  2.513079         2  0.240322  0.092620  0.658425  127.142232   -0.011302 -149.462970  2.558195e-08  1.281546 -0.005341 -0.000089  2.436715  0.251406  0.111689  0.639206  126.036589   11.612463 -151.183948  2.579452e-08  1.293930  0.001813  0.091876  2.444580  1.990422  -0.957069 -0.091965 -0.007864 -0.009578
54          4       2  1.908998  0.896939  1.721795         2  0.196238  0.160603  0.964833  195.560181  100.813849  -22.874477  1.388999e-08  1.628260 -0.003601  0.475981  1.674391  0.208469  0.180459  0.962374  182.131349  105.382079  -24.579194  1.552728e-08  1.493625  0.001633  0.524539  1.687079  1.908998   9.013996 -0.048558 -0.012687 -0.091002
55          4       2  2.122979  0.252822  2.636346         2  0.255376 -0.040990  0.566927   89.247139  -55.986421 -150.715552  3.073704e-08  1.125554 -0.008110 -0.560265  2.531520  0.273733 -0.026594  0.539068  100.706239  -47.390776 -166.045161  2.972830e-08  1.329916  0.001777 -0.439839  2.551080  2.122979 -15.366491 -0.120426 -0.019561  0.122979
